selected,Date,Type,No.,Payee,Category,Total,Approval Status,Action
,03/04/2025,Bill,67158815,Chefs' Warehouse,--Split--,431.49,,
,03/03/2025,Bill Payment (Check),,Chefs' Warehouse,,-8053.92,,
,03/03/2025,Bill Payment (Check),,Chefs' Warehouse,,0,,
,03/03/2025,Bill,67140499,Chefs' Warehouse,--Split--,915.83,,
,03/03/2025,Bill,67147373,Chefs' Warehouse,Food,49.9,,
,03/01/2025,Bill,67129580,Chefs' Warehouse,Food,393.59,,
,02/28/2025,Bill,67120672,Chefs' Warehouse,--Split--,1618.27,,
,02/27/2025,Bill,67099620,Chefs' Warehouse,Food,1371.33,,
,02/27/2025,Vendor Credit,67099145,Chefs' Warehouse,Food,-36.95,,
,02/26/2025,Bill,67084039,Chefs' Warehouse,Food,322.04,,
,02/25/2025,Bill,67073759,Chefs' Warehouse,Food,666.9,,
,02/25/2025,Bill,67079298,Chefs' Warehouse,Food,36.95,,
,02/20/2025,Bill,67017808,Chefs' Warehouse,Food,805.41,,
,02/20/2025,Bill,67026771,Chefs' Warehouse,Food,29.95,,
,02/19/2025,Bill,67000360,Chefs' Warehouse,Food,810.09,,
,02/18/2025,Bill Payment (Check),,Chefs' Warehouse,,-3938.18,,
,02/18/2025,Bill Payment (Check),,Chefs' Warehouse,,-21614.28,,
,02/18/2025,Bill,66992799,Chefs' Warehouse,Food,237.29,,
,02/17/2025,Bill,66980213,Chefs' Warehouse,Food,1729.85,,
,02/15/2025,Bill,66971317,Chefs' Warehouse,Food,748.45,,
,02/15/2025,Bill,66971307,Chefs' Warehouse,Food,151.29,,
,02/14/2025,Bill,66962406,Chefs' Warehouse,Food,1075.07,,
,02/13/2025,Bill,66947316,Chefs' Warehouse,Food,568.78,,
,02/12/2025,Bill,66927499,Chefs' Warehouse,Food,957.75,,
,02/12/2025,Bill,66933972,Chefs' Warehouse,Food,24.58,,
,02/11/2025,Bill,66914291,Chefs' Warehouse,Food,335.24,,
,02/11/2025,Vendor Credit,66925377,Chefs' Warehouse,Food,-13.67,,
